2025-03-26 17:14:05,943 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.demo.DemoApplicationTests], using SpringBootContextLoader
2025-03-26 17:14:05,948 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.example.demo.DemoApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2025-03-26 17:14:05,949 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.demo.DemoApplicationTests]: DemoApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2025-03-26 17:14:06,022 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.demo.DemoApplication for test class com.example.demo.DemoApplicationTests
2025-03-26 17:14:06,107 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2025-03-26 17:14:06,116 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@31aa3ca5, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@45905bff, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@2a2c13a8, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@b6b1987, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6b44435b, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2ccca26f, org.springframework.test.context.event.EventPublishingTestExecutionListener@66b7550d, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@3543df7d, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7c541c15, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@3542162a, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@698122b2, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@4212a0c8, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@1e7aa82b]
2025-03-26 17:14:06,315 [main] INFO  c.example.demo.DemoApplicationTests - Starting DemoApplicationTests using Java 17.0.12 on DESKTOP-T79U3K4 with PID 19256 (started by naples in C:\Users\naples\Desktop\Vue\demo\demo-start)
2025-03-26 17:14:06,316 [main] INFO  c.example.demo.DemoApplicationTests - No active profile set, falling back to 1 default profile: "default"
2025-03-26 17:14:07,349 [main] INFO  c.example.demo.DemoApplicationTests - Started DemoApplicationTests in 1.205 seconds (JVM running for 1.964)
2025-03-26 17:14:36,030 [main] INFO  com.example.demo.DemoApplication - Starting DemoApplication using Java 17.0.12 on DESKTOP-T79U3K4 with PID 18460 (C:\Users\naples\Desktop\Vue\demo\demo-start\target\demo-start-0.0.1-SNAPSHOT.jar started by naples in C:\Users\naples\Desktop\Vue\demo\demo-start)
